0.278, 0
0.281, 1
0.283, 2
0.284, 3
0.284, 4
0.287, 5
0.289, 6
0.291, 7
0.294, 8
0.294, 9
0.295, 10
0.295, 11
0.296, 12
0.296, 13
0.297, 14
0.297, 15
0.298, 16
0.299, 17
0.3, 18
0.3, 19
0.3, 20
0.3, 21
0.3, 22
0.3, 23
0.3, 24
0.301, 25
0.301, 26
0.301, 27
0.301, 28
0.301, 29
0.301, 30
0.302, 31
0.302, 32
0.302, 33
0.302, 34
0.302, 35
0.302, 36
0.302, 37
0.303, 38
0.303, 39
0.303, 40
0.303, 41
0.304, 42
0.304, 43
0.304, 44
0.304, 45
0.304, 46
0.304, 47
0.304, 48
0.304, 49
0.304, 50
0.304, 51
0.304, 52
0.304, 53
0.304, 54
0.304, 55
0.305, 56
0.305, 57
0.305, 58
0.305, 59
0.305, 60
0.305, 61
0.305, 62
0.305, 63
0.306, 64
0.306, 65
0.306, 66
0.306, 67
0.306, 68
0.306, 69
0.306, 70
0.306, 71
0.306, 72
0.306, 73
0.307, 74
0.307, 75
0.307, 76
0.307, 77
0.307, 78
0.307, 79
0.307, 80
0.307, 81
0.307, 82
0.307, 83
0.308, 84
0.308, 85
0.308, 86
0.308, 87
0.308, 88
0.308, 89
0.308, 90
0.308, 91
0.308, 92
0.308, 93
0.309, 94
0.309, 95
0.309, 96
0.309, 97
0.309, 98
0.309, 99
0.309, 100
0.309, 101
0.309, 102
0.309, 103
0.309, 104
0.309, 105
0.309, 106
0.31, 107
0.31, 108
0.31, 109
0.31, 110
0.31, 111
0.31, 112
0.31, 113
0.31, 114
0.31, 115
0.31, 116
0.31, 117
0.31, 118
0.31, 119
0.31, 120
0.311, 121
0.311, 122
0.311, 123
0.311, 124
0.311, 125
0.311, 126
0.311, 127
0.311, 128
0.311, 129
0.311, 130
0.311, 131
0.311, 132
0.311, 133
0.311, 134
0.311, 135
0.311, 136
0.311, 137
0.311, 138
0.311, 139
0.311, 140
0.312, 141
0.312, 142
0.312, 143
0.312, 144
0.312, 145
0.312, 146
0.312, 147
0.312, 148
0.312, 149
0.312, 150
0.312, 151
0.312, 152
0.312, 153
0.312, 154
0.312, 155
0.312, 156
0.312, 157
0.312, 158
0.313, 159
0.313, 160
0.313, 161
0.313, 162
0.313, 163
0.313, 164
0.313, 165
0.313, 166
0.313, 167
0.313, 168
0.313, 169
0.314, 170
0.314, 171
0.314, 172
0.314, 173
0.314, 174
0.314, 175
0.314, 176
0.314, 177
0.314, 178
0.314, 179
0.314, 180
0.314, 181
0.314, 182
0.314, 183
0.314, 184
0.314, 185
0.314, 186
0.314, 187
0.314, 188
0.314, 189
0.315, 190
0.315, 191
0.315, 192
0.315, 193
0.315, 194
0.315, 195
0.315, 196
0.315, 197
0.315, 198
0.315, 199
0.315, 200
0.315, 201
0.315, 202
0.315, 203
0.315, 204
0.315, 205
0.315, 206
0.315, 207
0.316, 208
0.316, 209
0.316, 210
0.316, 211
0.316, 212
0.316, 213
